Pubchem_SID,Pubchem_CID,SMILES,Activity_Outcome
842618,644890,CC(C)(C)N1C(=NN=N1)C(C2=CC=CC=C2OC)N3CCN(CC3)CC4=CC=NC=C4,Active
842953,6602688,C1COCCN1CCN2C3=CC=CC=C3N(C2=N)CC(=O)C4=CC(=C(C=C4)Cl)Cl.Br,Active
843526,645818,COC1=CC=CC2=C1NC=C(C2=O)C(=O)NCC3=CC=CS3,Active
843662,645965,CC1CC2=CC=CC=C2N1C(=O)CN3CCC(CC3)N4C5=C(C=C(C=C5)C)N=N4,Active
844085,646395,CCSC1=C(C2(CCCCC2)C(=C(N1)N)C#N)C#N,Active
844873,647205,CC(C(=O)NC1CCCC1)N(C2=CC3=C(C=C2)OCCO3)C(=O)C4=C(C(=NS4)C(=O)N)N,Active
844963,647302,CN1C(=CN=C1NCC2=CC=CC=C2)C3=CC4=C(C=C3)OCO4.C(=O)(C(=O)O)O,Active
845384,647727,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)CN4CCOCC4,Active
845417,6602522,C1CCC(=CC1)CCNC(=O)CN2CCN(CC2)C3=NC=CC=N3.Cl,Active
846135,6602523,CCC1=CC2=C(N=CN=C2S1)NCC3=CC=CO3.Cl,Active
846619,649015,C1C(C2=CC3=C(C=C2NC1=O)OCO3)C4=CC=CS4,Active
847355,649754,C1CC(OC1)CN2C(=CN=C2N)C3=CC=CC=C3,Active
847772,6602529,COC1=CC=CC(=C1)C(=O)NC2CC3CCCC(C2)N3CC(=O)NC4=CC=CC=C4.Cl,Active
848341,6602999,CCOC(=O)C1CC2=C(CN1)NC3=CC=CC=C23.Cl,Active
848343,2740817,CC1=CC=C(C=C1)C(=O)C2CCNCC2.Cl,Active
848536,650985,CC1=C(N2C(=NC=N2)N=C1C)NCCC3=CC=C(C=C3)OC,Active
849116,651587,C1CCN(CC1)CCCOC(=O)C2=CC=C(C=C2)O,Active
849137,135450662,C1CCC2=C(C1)C3=C(S2)NC(=O)CN=C3C4=CC=CS4,Active
849465,651959,C1CCC(C1)N2C(=NN=N2)C(C3=CC=C(C=C3)Cl)N4CCN(CC4)CC5=CC=NC=C5,Active
850010,652521,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)CN3CCCC3,Active
850485,6603138,C1CCC(CC1)N2CCN(CC2)CC(=O)NCCC3=CCCCC3.Cl,Active
850865,653412,CN1C(=NN=C1SCC(=O)NCC2=CC3=C(C=C2)OCO3)C4=CC5=CC=CC=C5C=C4O,Active
851134,653695,C1CC2=CC=CC=C2N(C1)C(=O)CSC3=NNC(=N3)C4=CC=CC=C4O,Active
851343,653914,CC(C)CCNC(=O)CN(CC1=CC=CS1)C(=O)CN2N=C(N=N2)C3=CC(=C(C=C3)OC)OC,Active
851770,654363,C1CCC(CC1)NC(=O)C(C2=CC=CS2)N(CC3=CC=CS3)C(=O)C4=CC=CO4,Active
852761,655401,CCN(C1CCCCC1)S(=O)(=O)C2=CC=C(C=C2)S(=O)(=O)NCC3=CC=NC=C3,Active
852933,655575,CC(C)CCN1C(=NN=N1)C(C2=CC=C(C=C2)F)N3CCN(CC3)C(=O)C4=CC=CO4,Active
853124,655776,C=CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,Active
853212,655866,CC(C)CN1C2CCCC1CC(C2)NC(=O)C3=CC(=C(C=C3)OC)OC,Active
853557,656216,C1=CC=C(C(=C1)C2NC3=CC=CC4=C3C(=CC=C4)N2)O,Active
853614,656272,CC1=CC=C(C=C1)C2=C(C3=NC4=C(CCCC4)C(=O)N3N2)C,Active
853632,656290,CC1=CC(=CC=C1)NC(=O)CN2C3=CC=CC=C3OC2=O,Active
856025,54686761,CCN(CC)CCNC(=O)C1=C(C2=CC=CC=C2N(C1=O)CC=C)O.Cl,Active
856255,6449251,CC1(CC2=CC(=C(C=C2/C(=C/C(=O)N3CCOCC3)/N1)OC)OC)C.Cl,Active
